Name of School,"Elementary, Middle, or High School",Street Address,ZIP Code,Link ,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name,Ward,Police District,probation,Id
Benjamin Banneker Elementary School,ES,6656 S Normal Blvd ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610265.pdf,No,Weak,36.0,NDA,NDA,Weak,35.0,Average,58.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.3%,26.9,93.9%,100.0%,NDA,31.1,10.9,11.8,40,34.4,34.4,31.1,55.7,60.5,25.9,30.8,7.9,1.5,0.7,0.9,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,302,45,NDA,68,ENGLEWOOD,6,7,1,610265
Jose De Diego Elementary Community Academy,ES,1313 N Claremont Ave ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610313.pdf,Yes,Average,57.0,Average,53,Weak,37.0,Average,40.0,Strong,60,Strong,64,Average,53,Strong,54,95.0%,29.0,96.8%,100.0%,75,51.4,29.9,32.4,49.2,44.4,45.5,45.1,49.1,51.3,17.5,33.3,16.7,11.3,-0.3,-1.1,Yellow,Red,49.2,23,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,869,35,NDA,24,WEST TOWN,1,14,1,610313
Columbia Explorers Elementary Academy,ES,4520 S Kedzie Ave ,60632,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610170.pdf,No,Average,59.0,Strong,64,Average,59.0,Strong,63.0,Strong,65,Strong,72,Average,52,Strong,55,95.4%,8.9,97.1%,100.0%,67.6,30.5,27.4,32.5,44.4,48.7,41.6,49.3,52.8,59.6,17.7,27.8,17.1,13.8,0.8,1.5,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1038,39,NDA,58,BRIGHTON PARK,14,8,0,610170
Carroll-Rosenwald Specialty Elementary School,ES,2929 W 83rd St ,60652,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609839.pdf,No,Weak,35.0,NDA,NDA,Very Weak,12.0,Very Weak,12.0,NDA,NDA,NDA,NDA,Average,48,Average,47,94.8%,27.8,95.6%,100.0%,63.1,47.5,26.7,29.4,52,38.4,37.1,27.7,45.1,43.5,13.8,30,11.8,9.1,-0.6,0.6,Red,Yellow,10.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,537,43,NDA,70,ASHBURN,18,8,0,609839
John T McCutcheon Elementary School,ES,4865 N Sheridan Rd ,60640,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610269.pdf,No,Average,56.0,Weak,36,Strong,67.0,Average,41.0,Weak,32,Average,42,Average,52,Average,53,94.0%,8.8,94.8%,98.1%,62.4,66.3,31.3,30.3,46.7,48.3,34.1,40.5,48.1,58.4,9.1,13.6,19.5,10.8,1.0,-0.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,355,32,NDA,3,UPTOWN,48,20,0,610269
Manuel Perez Elementary School,ES,1241 W 19th St ,60608,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609872.pdf,Yes,Average,45.0,NDA,NDA,Average,42.0,Average,45.0,NDA,NDA,NDA,NDA,Average,52,Average,50,95.9%,7.3,96.6%,100.0%,67.7,NDA,37.9,33.6,61.1,62.3,45.9,26.7,71.8,51.8,14,14,14.8,8.7,0.0,1.1,Yellow,Green,35.6,18.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,426,39,NDA,31,LOWER WEST SIDE,25,12,0,609872
Francis Parkman Elementary School,ES,245 W 51st St ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610114.pdf,No,Weak,38.0,Weak,25,Average,45.0,Weak,39.0,Weak,20,Weak,28,NDA,NDA,NDA,NDA,90.6%,20.7,95.3%,100.0%,62.2,35.9,15.1,5.9,48.8,34.1,14.8,15.8,39.3,43.4,6.3,12.5,4.6,3.1,-0.3,-0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,224,42,NDA,37,FULLER PARK,3,9,1,610114
Leslie Lewis Elementary School,ES,1431 N Leamington Ave ,60651,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610036.pdf,No,Weak,21.0,Weak,37,Weak,36.0,Strong,64.0,Weak,30,Average,48,Weak,42,Weak,43,91.8%,37.7,95.3%,98.6%,67.8,58.4,20.3,19.8,51.3,40.1,15.8,22.5,53.5,58.3,2.3,4.5,4.0,5.0,-0.5,-0.1,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,565,36,NDA,25,AUSTIN,37,25,1,610036
Ana Roque de Duprey Elementary School,ES,2620 W Hirsch St ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610320.pdf,Yes,Average,57.0,NDA,NDA,Very Weak,12.0,Very Weak,14.0,NDA,NDA,NDA,NDA,Average,53,Strong,57,95.4%,77.5,95.6%,100.0%,32.1,23.3,56.8,32.4,75.8,75.8,34.9,34.1,53.8,52.5,7.1,28.6,11.1,6.2,0.7,0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,114,34,NDA,24,WEST TOWN,26,14,1,610320
A.N. Pritzker School,ES,2009 W Schiller St ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610229.pdf,No,Average,59.0,NDA,NDA,Average,58.0,Strong,61.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.6%,36.5,95.6%,98.5%,56.8,11.8,58.2,58.5,55,55.6,62.9,54.9,57.6,55.1,38.7,50,37.2,34.5,-0.2,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,669,35,NDA,24,WEST TOWN,1,14,0,610229
VOISE Academy High School,HS,231 N Pine Ave ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610518.pdf,No,Average,42.0,NDA,NDA,Average,52.0,Average,52.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,84.5%,25.0,96.5%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.3,12.5,13.6,13.6,1.3,14.4,0.8,NDA,NDA,NDA,410,36,82,25,AUSTIN,28,15,1,610518
Philip Rogers Elementary School,ES,7345 N Washtenaw Ave ,60645,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610147.pdf,No,Very Strong,81.0,Strong,76,Strong,68.0,Strong,62.0,Strong,75,Strong,64,Average,53,Average,51,96.4%,3.0,95.1%,100.0%,77.3,50.9,49.8,47.2,60.9,61.9,73,52.7,75.1,53.6,37.3,52.5,34.3,28.3,0.7,0.7,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,735,32,NDA,2,WEST RIDGE,50,24,0,610147
Andrew Jackson Elementary Language Academy,ES,1340 W Harrison St ,60607,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610060.pdf,No,Very Strong,86.0,NDA,NDA,Average,57.0,Average,46.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,97.4%,0.7,96.1%,100.0%,88.7,NDA,90.3,90.9,70.6,81.2,85.7,90.7,64.8,62.1,72.6,87.1,70.4,62.7,0.6,0.8,Green,Green,48.4,80,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,556,38,NDA,28,NEAR WEST SIDE,2,12,0,610060
Walter Q Gresham Elementary School,ES,8524 S Green St ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609955.pdf,No,Weak,25.0,Average,49,Very Weak,7.0,Very Weak,11.0,Strong,68,Average,57,Average,48,Weak,46,95.5%,35.4,95.0%,100.0%,61.4,54,30.7,24,47.7,57.3,13.9,21.6,35.2,34.6,5.4,16.2,9.9,7.4,1.4,0.0,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,359,45,NDA,71,AUBURN GRESHAM,21,6,1,609955
North River Elementary School,ES,4416 N Troy St ,60625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610354.pdf,No,Strong,67.0,Strong,60,Average,53.0,Average,51.0,Average,47,Average,47,Average,50,Average,51,95.6%,20.1,96.0%,100.0%,46.2,55.8,47.9,39.4,56.3,64.1,27.8,35.1,35.7,54.9,22.2,40.7,19.6,13.7,-0.2,-0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,359,31,NDA,14,ALBANY PARK,33,17,0,610354
Hyman G Rickover Naval Academy High School,HS,5900 N Glenwood Ave ,60660,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610390.pdf,No,Strong,64.0,NDA,NDA,Strong,64.0,Average,42.0,NDA,NDA,NDA,NDA,Average,53,Average,48,92.9%,15.4,95.9%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,15.2,15.4,16.5,15.8,0.6,18.7,2.2,23.4,63,63.5,423,32,90.7,77,EDGEWATER,48,20,0,610390
Oscar DePriest Elementary School,ES,139 S Parkside Ave ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610367.pdf,No,Weak,35.0,Weak,39,Average,47.0,Average,53.0,Average,51,Weak,39,Average,47,Strong,54,92.7%,20.0,95.6%,94.1%,66.4,62,26.8,18.4,42.9,43.2,35.8,45.9,78.2,76.9,0,9.1,4.8,9.8,0.9,2.3,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,524,36,NDA,25,AUSTIN,29,15,1,610367
John Milton Gregory Elementary School,ES,3715 W Polk St ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609954.pdf,No,Average,44.0,Average,43,Weak,39.0,Average,43.0,Strong,66,Average,59,Average,49,Strong,55,95.2%,3.2,94.6%,100.0%,61.6,45.5,36.8,17.9,62.3,70.8,44.3,37.7,69.1,77.9,6.3,41.7,24.2,19.5,1.5,2.1,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,323,37,NDA,27,EAST GARFIELD PARK,24,11,0,609954
William T Sherman Elementary School,ES,1000 W 52nd St ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610172.pdf,No,Weak,32.0,NDA,NDA,Average,46.0,Average,55.0,NDA,NDA,NDA,NDA,Average,49,Average,52,92.3%,230.6,95.0%,100.0%,NDA,NDA,21.8,26.8,41.1,42,30.1,19.7,46.3,35.2,7.5,15.1,8.1,1.7,0.7,-1.3,Green,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,462,45,NDA,61,NEW CITY,16,9,1,610172
Burnside Elementary Scholastic Academy,ES,650 E 91st Pl ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609827.pdf,No,Average,51.0,NDA,NDA,Average,58.0,Strong,70.0,NDA,NDA,NDA,NDA,Average,48,Average,47,94.9%,8.9,94.9%,100.0%,81.7,55.8,31.1,38.5,49.3,39.9,40.6,33,52.4,49.4,18.6,35.6,15.5,14.3,0.0,-0.4,Yellow,Yellow,20.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,766,45,NDA,44,CHATHAM,6,6,1,609827
Granville T Woods Math & Science Academy Elementary School,ES,6206 S Racine Ave ,60636,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610285.pdf,No,Weak,35.0,NDA,NDA,Average,43.0,Weak,31.0,NDA,NDA,NDA,NDA,Average,48,Average,49,91.9%,41.5,95.2%,100.0%,NDA,61.7,25.8,11.4,35.1,53.8,24.2,21.6,50.9,46.3,5.4,17.5,11.1,6.5,0.0,-0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,402,43,NDA,67,WEST ENGLEWOOD,16,7,0,610285
Washington Irving Elementary School,ES,749 S Oakley Blvd ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610121.pdf,No,Average,43.0,NDA,NDA,Weak,34.0,Average,44.0,NDA,NDA,NDA,NDA,Average,48,Average,49,95.6%,15.1,95.9%,89.0%,71.8,64.1,36.8,34,45.5,52.2,57.1,46.8,68.8,64.2,17,27.7,22.6,20.9,-0.8,0.7,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,482,38,NDA,28,NEAR WEST SIDE,25,12,0,610121
Mason High School,HS,4217 W 18th St ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610535.pdf,No,Average,50.0,NDA,NDA,Average,59.0,Average,59.0,NDA,NDA,NDA,NDA,Average,50,Average,47,90.4%,44.3,0.0%,72.7%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.6,13.5,NDA,13.9,1.3,NDA,NDA,NDA,NDA,NDA,48,36,40.9,29,NORTH LAWNDALE,24,10,0,610535
Wendell Smith Elementary School,ES,744 E 103rd St ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609978.pdf,No,Weak,22.0,Weak,24,Very Weak,1.0,Very Weak,1.0,Weak,31,Weak,29,Weak,42,Weak,46,92.1%,90.0,94.1%,95.2%,64.8,42.6,25,20.2,53.1,49,34.6,22.3,30.7,45.9,8.6,22.9,9.4,4.2,-0.5,-1.0,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,363,48,NDA,50,PULLMAN,8,5,1,609978
Norwood Park Elementary School,ES,5900 N Nina Ave ,60631,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610099.pdf,No,Very Strong,99.0,Very Strong,86,Strong,69.0,Strong,68.0,Weak,31,Weak,32,Strong,57,Average,52,95.5%,0.3,95.6%,100.0%,75.2,57.8,69.3,65.8,56.3,52.7,90.3,77.7,57.3,61.2,64.1,69.2,50.5,39.0,-1.8,-0.9,Red,Red,94.7,69.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,359,30,NDA,10,NORWOOD PARK,41,16,0,610099
Little Village Elementary School,ES,2620 S Lawndale Ave ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609834.pdf,No,Average,45.0,Average,43,Average,52.0,Strong,66.0,Average,45,Average,43,Average,47,Average,50,96.7%,3.2,96.7%,93.9%,69,56,26,25.1,49.8,52.2,42.1,32.6,63.2,56.3,17.6,19.4,11.3,11.4,0.6,1.5,Green,Green,30.9,66.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,842,37,NDA,30,SOUTH LAWNDALE,22,10,0,609834
Christian Ebinger Elementary School,ES,7350 W Pratt Ave ,60631,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609899.pdf,No,Strong,78.0,Strong,72,Strong,66.0,Average,50.0,Weak,26,Strong,62,Average,52,Weak,43,95.9%,9.3,95.2%,97.0%,84.7,61.5,81.2,68.5,63.3,82.2,77.4,69.4,56.8,70.1,34.5,53.4,50.6,40.2,0.5,1.4,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,650,30,NDA,9,EDISON PARK,41,16,0,609899
Isabelle C O'Keeffe Elementary School,ES,6940 S Merrill Ave ,60649,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610103.pdf,No,Very Weak,17.0,NDA,NDA,Weak,28.0,Weak,29.0,NDA,NDA,NDA,NDA,Weak,40,Weak,43,92.1%,24.6,94.6%,100.0%,52,54,13.8,16.4,42.8,29.1,17.9,28.6,43.3,60,1.7,19,3.4,6.7,-0.4,0.7,Yellow,Yellow,17.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,575,46,NDA,43,SOUTH SHORE,5,3,1,610103
Ravenswood Elementary School,ES,4332 N Paulina St ,60613,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610141.pdf,No,Average,46.0,NDA,NDA,Average,42.0,Average,41.0,NDA,NDA,NDA,NDA,Average,53,Weak,44,94.9%,8.1,95.7%,100.0%,78.7,NDA,46.9,45.9,62.2,74.5,39.8,51.9,67.6,59.4,4.3,34.8,18.9,13.7,-0.4,-0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,465,33,NDA,6,LAKE VIEW,47,19,0,610141
John C Coonley Elementary School,ES,4046 N Leavitt St ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609866.pdf,No,Very Strong,87.0,Very Strong,90,Strong,65.0,Weak,39.0,Strong,65,Average,56,Strong,58,Strong,55,95.9%,1.4,96.5%,100.0%,90.1,52.9,72.6,66.7,61.4,65.8,64.8,64.8,53.8,63.5,27.8,50,45.3,39.0,-0.7,0.9,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,668,31,NDA,5,NORTH CENTER,47,19,0,609866
Washington D Smyser Elementary School,ES,4310 N Melvina Ave ,60634,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610179.pdf,No,Average,55.0,NDA,NDA,Average,43.0,Average,45.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,95.5%,4.9,97.2%,96.6%,72.6,NDA,53.9,58.4,61.1,65.7,59.2,60.2,64.7,51.5,27,49.5,36.5,27.5,0.6,0.1,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1047,30,NDA,15,PORTAGE PARK,38,16,0,610179
Esmond Elementary School,ES,1865 W Montvale ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609908.pdf,No,Weak,36.0,NDA,NDA,Average,49.0,Average,43.0,NDA,NDA,NDA,NDA,Average,49,Average,50,92.9%,34.0,95.7%,100.0%,77.6,38.8,33.3,26.3,52,47.5,32,22.1,55.2,37.5,8.6,17.1,8.9,7.7,0.9,-0.4,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,342,49,NDA,75,MORGAN PARK,19,22,1,609908
James R Doolittle Jr Elementary School,ES,535 E 35th St ,60616,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609891.pdf,No,Weak,30.0,NDA,NDA,Weak,25.0,Average,46.0,NDA,NDA,NDA,NDA,Weak,44,Average,47,91.4%,134.8,94.7%,97.7%,55.6,50,15.9,3.7,40.6,32.4,7.4,24.5,39.8,54.9,11.8,35.3,2.2,1.1,-1.4,-0.2,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,306,40,NDA,35,DOUGLAS,4,2,1,609891
Orr Academy High School,HS,730 N Pulaski Rd ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610389.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,66.3%,10.2,95.0%,99.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.7,12,13.6,13.3,1.6,15.1,1.5,5.8,NDA,51.9,831,34,59.5,23,HUMBOLDT PARK,28,11,1,610389
Chicago High School for Agricultural Sciences,HS,3857 W 111th St ,60655,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609753.pdf,No,Very Strong,87.0,Strong,77,Average,49.0,Average,47.0,Average,57,Average,40,Average,52,Strong,55,92.8%,5.2,95.2%,96.8%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,16.1,16.5,16.9,17.4,1.3,20.4,3.5,30.7,70.7,79.6,579,49,88.1,74,MOUNT GREENWOOD,19,22,0,609753
Dvorak Technology Academy,ES,3615 W 16th St ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610254.pdf,No,Average,46.0,Weak,22,Strong,66.0,Strong,69.0,Very Weak,4,Very Weak,13,NDA,NDA,NDA,NDA,94.2%,4.4,95.4%,100.0%,49,42.3,20.5,22.4,45.8,43.1,25.1,26.3,38.9,53.6,3.6,30.4,11.0,10.4,-1.5,0.4,Red,Yellow,20.3,16.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,556,37,NDA,29,NORTH LAWNDALE,24,10,1,610254
Stone Elementary Scholastic Academy,ES,6239 N Leavitt St ,60659,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610191.pdf,No,Strong,78.0,NDA,NDA,Average,55.0,Average,43.0,NDA,NDA,NDA,NDA,Strong,55,Average,47,96.4%,1.9,96.0%,100.0%,83.2,46.2,62.8,67.5,59.9,56.7,62,68.8,59.9,59.4,40,47.3,45.7,44.7,0.3,1.7,Yellow,Green,57.1,56.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,646,32,NDA,2,WEST RIDGE,50,24,0,610191
Belmont-Cragin Elementary School,ES,2456 N Mango Ave ,60639,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609922.pdf,No,Strong,75.0,Very Strong,81,Strong,67.0,Strong,66.0,Average,45,Average,53,Strong,55,Strong,54,95.3%,1.3,96.8%,98.9%,60.7,31.8,22.5,21.3,51.8,55.3,42.9,39,61.7,53.2,0,6.9,11.0,11.0,0.2,1.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,634,29,NDA,19,BELMONT CRAGIN,30,25,0,609922
Bronzeville Scholastic Academy High School,HS,4934 S Wabash Ave ,60615,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610381.pdf,No,Average,41.0,Weak,38,Average,42.0,Average,43.0,Weak,32,Very Weak,15,Average,51,Weak,43,92.3%,16.2,95.6%,97.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.3,13.8,15.3,15.7,1.4,16.3,1,14.7,85.3,73.2,550,42,71.1,38,GRAND BOULEVARD,3,2,1,610381
Stephen F Gale Elementary Community Academy,ES,1631 W Jonquil Ter ,60626,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609933.pdf,No,Weak,39.0,Weak,31,Weak,35.0,Weak,27.0,Weak,33,Weak,29,Weak,45,Weak,43,92.1%,34.8,95.2%,100.0%,40.1,15.5,18.7,17.9,49.3,39.3,32.4,24.8,46.2,48.9,7.5,22.5,7.6,6.9,-0.5,0.0,Yellow,Yellow,20.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,532,32,NDA,1,ROGERS PARK,49,24,1,609933
Michael Faraday Elementary School,ES,3250 W Monroe St ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610055.pdf,No,Weak,35.0,NDA,NDA,Strong,65.0,Strong,66.0,NDA,NDA,NDA,NDA,Average,50,Average,50,93.3%,39.4,94.6%,100.0%,56.4,34,34.4,17.2,53.2,73.3,59.8,22.9,80.6,63.5,17.1,17.1,17.9,7.0,1.7,-1.1,Green,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,194,38,NDA,27,EAST GARFIELD PARK,28,11,0,610055
Clara Barton Elementary School,ES,7650 S Wolcott Ave ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609790.pdf,No,Weak,25.0,Average,42,Weak,28.0,Weak,34.0,Strong,77,Average,59,Average,51,Average,49,91.7%,25.3,96.4%,100.0%,64.3,NDA,27,22.8,51.8,55.3,27.4,22.4,45.3,52.9,6.5,13,8.1,5.7,-0.5,-0.3,Yellow,Yellow,60,3.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,602,43,NDA,71,AUBURN GRESHAM,18,6,1,609790
Gage Park High School,HS,5630 S Rockwell St ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609709.pdf,No,Very Weak,14.0,Average,43,Weak,29.0,Weak,37.0,Weak,38,Weak,35,NDA,NDA,NDA,NDA,72.5%,19.5,94.0%,99.1%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.4,12,13.8,13.6,1.2,14.1,0.3,7.9,52.8,40.3,1052,43,46,63,GAGE PARK,16,8,1,609709
Alessandro Volta Elementary School,ES,4950 N Avers Ave ,60625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610209.pdf,No,Average,43.0,Strong,61,Weak,28.0,Weak,37.0,Strong,62,Average,56,Average,51,Average,53,96.4%,22.5,95.9%,100.0%,63.9,43.2,51.3,32.9,50.7,70,52.5,31.3,59.8,57.6,16.5,24.7,19.9,14.2,0.3,-0.4,Yellow,Yellow,31.6,65.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1023,31,NDA,14,ALBANY PARK,39,17,0,610209
